data_venda,cliente,loja,produto,categoria,quantidade,preco_unitario,custo_unitario,cidade,estado,regiao,forma_pagamento
2023-05-16,Cliente 186,Loja Oeste,Fone de Ouvido,Acessórios,5,2357.97,1330.53,Curitiba,PR,CENTRO-OESTE,Boleto
2024-03-17,Cliente 91,Loja Leste,Monitor,Eletrônicos,7,706.91,374.01,Fortaleza,CE,nordeste,Boleto
2023-04-22,Cliente 64,Loja Norte,Notebook,Eletrônicos,1,1439.04,866.0,Rio de Janeiro,RJ,Sul,Boleto
2023-03-19,Cliente 114,Loja Oeste,Teclado,Eletrônicos,3,1010.98,581.25,Recife,PE,sudeste,Crédito
2023-06-20,Cliente 105,Loja Leste,Fone de Ouvido,Acessórios,2,3245.97,2449.44,São Paulo,SP,Centro-Oeste,Débito
2023-09-29,Cliente 117,Loja Sul,Impressora,Eletrônicos,3,1357.46,1079.99,São Paulo,SP,nordeste,Boleto
2024-07-09,Cliente 16,Loja Sul,Teclado,Eletrônicos,5,801.07,414.59,Curitiba,PR,Sudeste,Crédito
2023-02-28,Cliente 131,Loja Centro,Webcam,Acessórios,9,3221.89,2124.31,Fortaleza,CE,SUDESTE,Crédito
2024-08-06,Cliente 64,Loja Oeste,Webcam,Acessórios,4,1443.03,1129.14,Rio de Janeiro,RJ,CENTRO-OESTE,Crédito
2023-11-20,Cliente 67,Loja Norte,Webcam,Acessórios,7,2317.94,1552.02,Rio de Janeiro,RJ,Nordeste,Débito
2023-11-20,Cliente 193,Loja Centro,Cadeira,Móveis,3,2367.33,1396.72,Recife,PE,Sudeste,Boleto
2023-09-29,Cliente 34,Loja Sul,Webcam,Acessórios,2,302.75,170.73,Goiânia,GO,sudeste,Débito
2023-11-06,Cliente 157,Loja Oeste,Mesa,Móveis,3,1561.74,1035.38,Porto Alegre,RS,Sudeste,Pix
2024-07-20,Cliente 40,Loja Sul,Mouse,Eletrônicos,5,448.23,238.51,Belo Horizonte,MG,SUL,Débito
2023-02-22,Cliente 24,Loja Leste,Mesa,Móveis,5,1793.66,1031.96,Curitiba,PR,SUL,Crédito
2024-03-28,Cliente 142,Loja Leste,Notebook,Eletrônicos,3,2248.04,1300.69,Salvador,BA,centro-oeste,Crédito
2024-08-19,Cliente 142,Loja Norte,Mouse,Eletrônicos,3,1932.29,1449.95,Rio de Janeiro,RJ,nordeste,Débito
2023-02-10,Cliente 92,Loja Norte,Notebook,Eletrônicos,6,3151.49,2328.44,Porto Alegre,RS,Sul,Crédito
2023-08-31,Cliente 42,Loja Norte,Mesa,Móveis,7,3409.74,2471.53,Brasília,DF,nordeste,Crédito
2023-09-12,Cliente 69,Loja Norte,Teclado,Eletrônicos,7,2817.71,2139.26,Salvador,BA,sudeste,Boleto
2023-12-25,Cliente 79,Loja Norte,Notebook,Eletrônicos,4,738.53,572.76,Fortaleza,CE,Sul,Crédito
2023-10-13,Cliente 90,Loja Oeste,Monitor,Eletrônicos,6,1011.18,526.65,Recife,PE,nordeste,Pix
2023-09-29,Cliente 10,Loja Centro,Notebook,Eletrônicos,5,666.06,525.36,Rio de Janeiro,RJ,CENTRO-OESTE,Boleto
2024-01-30,Cliente 148,Loja Norte,Mesa,Móveis,7,2141.42,1399.26,Salvador,BA,SUL,Crédito
2024-11-17,Cliente 51,Loja Sul,Impressora,Eletrônicos,9,3243.23,2145.51,São Paulo,SP,nordeste,Crédito
2023-11-04,Cliente 130,Loja Sul,Mesa,Móveis,6,2338.69,1256.78,Goiânia,GO,nordeste,Pix
2024-01-24,Cliente 174,Loja Norte,Impressora,Eletrônicos,9,489.14,306.27,Porto Alegre,RS,CENTRO-OESTE,Pix
2024-08-16,Cliente 156,Loja Sul,Impressora,Eletrônicos,1,1098.37,618.44,Brasília,DF,Centro-Oeste,Boleto
2023-06-23,Cliente 169,Loja Centro,Celular,Eletrônicos,9,1682.49,1296.11,Curitiba,PR,SUL,Pix
2023-01-26,Cliente 12,Loja Norte,Mouse,Eletrônicos,5,825.01,461.79,Curitiba,PR,Centro-Oeste,Crédito
2024-05-21,Cliente 103,Loja Norte,Celular,Eletrônicos,10,720.8,510.98,Recife,PE,SUDESTE,Crédito
2024-06-14,Cliente 119,Loja Centro,Mouse,Eletrônicos,4,656.81,517.17,Recife,PE,centro-oeste,Débito
2024-07-26,Cliente 153,Loja Sul,Mouse,Eletrônicos,3,2814.89,1971.19,Fortaleza,CE,Centro-Oeste,Boleto
2023-09-23,Cliente 193,Loja Norte,Fone de Ouvido,Acessórios,3,2615.61,1680.27,Fortaleza,CE,SUL,Boleto
2023-10-06,Cliente 86,Loja Sul,Monitor,Eletrônicos,8,317.32,185.86,Porto Alegre,RS,centro-oeste,Crédito
2023-08-08,Cliente 17,Loja Leste,Teclado,Eletrônicos,4,1371.47,748.61,Belo Horizonte,MG,nordeste,Pix
2024-02-03,Cliente 198,Loja Oeste,Fone de Ouvido,Acessórios,7,264.82,198.58,Fortaleza,CE,Sudeste,Boleto
2024-03-05,Cliente 138,Loja Oeste,Celular,Eletrônicos,6,1080.21,666.49,São Paulo,SP,CENTRO-OESTE,Débito
2023-12-11,Cliente 172,Loja Leste,Celular,Eletrônicos,5,1553.63,790.34,Curitiba,PR,SUDESTE,Boleto
2024-07-31,Cliente 170,Loja Centro,Teclado,Eletrônicos,9,143.03,88.42,Goiânia,GO,sudeste,Boleto
2023-08-05,Cliente 117,Loja Sul,Teclado,Eletrônicos,3,223.48,137.16,Fortaleza,CE,Nordeste,Boleto
2024-07-06,Cliente 14,Loja Sul,Cadeira,Móveis,5,2930.44,1878.68,Recife,PE,Sul,Crédito
2023-06-06,Cliente 62,Loja Norte,Notebook,Eletrônicos,4,737.79,373.41,São Paulo,SP,Centro-Oeste,Crédito
2023-06-21,Cliente 156,Loja Oeste,Webcam,Acessórios,8,2463.15,1798.27,Curitiba,PR,sudeste,Débito
2024-11-24,Cliente 97,Loja Leste,Cadeira,Móveis,10,138.59,82.27,Rio de Janeiro,RJ,Sul,Crédito
2024-12-01,Cliente 154,Loja Centro,Webcam,Acessórios,2,2455.32,1449.8,Curitiba,PR,CENTRO-OESTE,Crédito
2024-10-25,Cliente 88,Loja Centro,Mesa,Móveis,7,2332.25,1214.37,Brasília,DF,nordeste,Boleto
2024-12-25,Cliente 40,Loja Leste,Mouse,Eletrônicos,6,2242.77,1678.96,Recife,PE,SUDESTE,Pix
2024-08-29,Cliente 69,Loja Sul,Webcam,Acessórios,8,1653.81,1236.59,Brasília,DF,Sul,Crédito
2024-11-15,Cliente 98,Loja Sul,Cadeira,Móveis,4,2639.14,1770.74,Fortaleza,CE,Sudeste,Boleto
2023-12-15,Cliente 72,Loja Oeste,Mesa,Móveis,8,781.81,578.03,Belo Horizonte,MG,SUL,Crédito
2024-07-22,Cliente 195,Loja Norte,Fone de Ouvido,Acessórios,2,882.68,548.96,Curitiba,PR,Centro-Oeste,Boleto
2023-09-07,Cliente 79,Loja Oeste,Celular,Eletrônicos,2,1065.11,661.77,São Paulo,SP,Nordeste,Boleto
2023-12-05,Cliente 91,Loja Leste,Fone de Ouvido,Acessórios,6,1517.99,1098.69,Brasília,DF,SUL,Pix
2024-07-02,Cliente 196,Loja Norte,Cadeira,Móveis,2,2538.43,1509.51,Curitiba,PR,Sul,Débito
2023-10-17,Cliente 26,Loja Norte,Celular,Eletrônicos,10,3419.29,2247.81,Porto Alegre,RS,SUL,Débito
2023-10-08,Cliente 12,Loja Centro,Mesa,Móveis,5,98.81,65.24,Belo Horizonte,MG,centro-oeste,Pix
2024-04-25,Cliente 123,Loja Leste,Teclado,Eletrônicos,2,3060.88,2057.58,Fortaleza,CE,Nordeste,Débito
2024-05-18,Cliente 19,Loja Oeste,Notebook,Eletrônicos,8,443.6,230.5,Porto Alegre,RS,Sudeste,Débito
2024-07-25,Cliente 196,Loja Leste,Teclado,Eletrônicos,5,343.87,197.54,Goiânia,GO,CENTRO-OESTE,Débito
2024-08-25,Cliente 110,Loja Sul,Fone de Ouvido,Acessórios,8,3184.34,1876.23,Recife,PE,CENTRO-OESTE,Crédito
2023-03-25,Cliente 41,Loja Norte,Webcam,Acessórios,4,2208.03,1279.32,Rio de Janeiro,RJ,SUDESTE,Crédito
2023-10-26,Cliente 9,Loja Norte,Teclado,Eletrônicos,7,1604.24,1087.9,São Paulo,SP,SUL,Pix
2024-10-02,Cliente 151,Loja Norte,Celular,Eletrônicos,4,3237.49,2383.92,Rio de Janeiro,RJ,nordeste,Crédito
2023-03-15,Cliente 16,Loja Norte,Fone de Ouvido,Acessórios,3,3184.02,2381.61,Curitiba,PR,SUL,Pix
2023-10-06,Cliente 129,Loja Oeste,Celular,Eletrônicos,8,2425.94,1722.22,Rio de Janeiro,RJ,Centro-Oeste,Boleto
2024-09-10,Cliente 65,Loja Centro,Mouse,Eletrônicos,1,3118.51,2246.45,Goiânia,GO,sudeste,Débito
2023-10-03,Cliente 148,Loja Centro,Webcam,Acessórios,1,3498.52,2454.86,Goiânia,GO,SUDESTE,Boleto
2024-10-12,Cliente 126,Loja Centro,Fone de Ouvido,Acessórios,5,676.14,456.8,Fortaleza,CE,Centro-Oeste,Pix
2023-12-04,Cliente 106,Loja Leste,Impressora,Eletrônicos,6,2361.96,1788.76,Salvador,BA,SUL,Boleto
2023-04-29,Cliente 198,Loja Leste,Fone de Ouvido,Acessórios,8,353.81,203.7,São Paulo,SP,centro-oeste,Crédito
2024-09-29,Cliente 194,Loja Leste,Fone de Ouvido,Acessórios,7,237.0,155.36,Fortaleza,CE,Centro-Oeste,Crédito
2024-12-16,Cliente 125,Loja Centro,Monitor,Eletrônicos,9,502.0,294.38,Porto Alegre,RS,Sudeste,Débito
2023-08-19,Cliente 30,Loja Leste,Teclado,Eletrônicos,9,97.18,60.48,Porto Alegre,RS,sudeste,Débito
2024-05-09,Cliente 121,Loja Norte,Celular,Eletrônicos,9,2483.67,1551.42,Porto Alegre,RS,Centro-Oeste,Débito
2023-03-13,Cliente 71,Loja Leste,Impressora,Eletrônicos,10,1803.43,1377.46,Curitiba,PR,Nordeste,Pix
2024-11-06,Cliente 126,Loja Norte,Notebook,Eletrônicos,5,2939.29,1981.01,Porto Alegre,RS,Centro-Oeste,Boleto
2023-11-26,Cliente 49,Loja Norte,Mesa,Móveis,9,2681.91,1644.45,Salvador,BA,CENTRO-OESTE,Boleto
2024-01-26,Cliente 99,Loja Norte,Monitor,Eletrônicos,1,1147.71,736.71,Recife,PE,Centro-Oeste,Crédito
2024-03-26,Cliente 26,Loja Oeste,Teclado,Eletrônicos,10,1195.38,633.68,Brasília,DF,Centro-Oeste,Crédito
2023-09-29,Cliente 87,Loja Oeste,Teclado,Eletrônicos,3,308.16,226.33,Recife,PE,nordeste,Crédito
2024-05-14,Cliente 139,Loja Centro,Mesa,Móveis,7,3341.78,2299.28,Brasília,DF,CENTRO-OESTE,Crédito
2023-04-11,Cliente 195,Loja Centro,Monitor,Eletrônicos,4,2626.34,1655.1,Porto Alegre,RS,Centro-Oeste,Débito
2024-01-03,Cliente 96,Loja Leste,Cadeira,Móveis,1,1169.09,604.23,São Paulo,SP,SUDESTE,Débito
2023-06-29,Cliente 21,Loja Oeste,Fone de Ouvido,Acessórios,10,2402.21,1330.87,Recife,PE,nordeste,Débito
2024-04-15,Cliente 66,Loja Centro,Celular,Eletrônicos,3,851.05,588.39,Goiânia,GO,Centro-Oeste,Pix
2024-08-24,Cliente 77,Loja Leste,Fone de Ouvido,Acessórios,2,1573.97,950.16,Belo Horizonte,MG,SUL,Boleto
2024-01-26,Cliente 147,Loja Sul,Cadeira,Móveis,7,2994.01,1592.8,Curitiba,PR,CENTRO-OESTE,Pix
2024-12-03,Cliente 200,Loja Centro,Cadeira,Móveis,7,996.96,667.74,São Paulo,SP,CENTRO-OESTE,Boleto
2023-07-14,Cliente 159,Loja Sul,Cadeira,Móveis,10,2816.67,1593.39,Curitiba,PR,SUDESTE,Crédito
2023-05-15,Cliente 24,Loja Sul,Notebook,Eletrônicos,8,165.11,100.63,Porto Alegre,RS,Nordeste,Boleto
2024-01-10,Cliente 136,Loja Oeste,Teclado,Eletrônicos,3,2763.47,2108.36,Curitiba,PR,SUL,Débito
2023-04-28,Cliente 120,Loja Centro,Cadeira,Móveis,5,2625.63,1579.62,Fortaleza,CE,SUDESTE,Débito
2023-09-28,Cliente 138,Loja Centro,Impressora,Eletrônicos,6,361.54,223.57,Brasília,DF,Centro-Oeste,Pix
2023-04-21,Cliente 173,Loja Norte,Cadeira,Móveis,7,2887.34,2258.15,Goiânia,GO,Centro-Oeste,Crédito
2023-03-06,Cliente 163,Loja Leste,Webcam,Acessórios,6,3207.63,1816.83,Brasília,DF,SUL,Boleto
2024-05-19,Cliente 30,Loja Centro,Mouse,Eletrônicos,1,3314.6,1959.95,Belo Horizonte,MG,Sul,Débito
2024-07-07,Cliente 108,Loja Oeste,Impressora,Eletrônicos,6,2363.18,1708.44,Fortaleza,CE,SUDESTE,Boleto
2023-02-03,Cliente 177,Loja Sul,Mouse,Eletrônicos,10,1458.0,1145.2,Fortaleza,CE,Sul,Boleto
2024-07-11,Cliente 166,Loja Sul,Celular,Eletrônicos,6,392.77,277.18,Curitiba,PR,Sudeste,Boleto
2023-04-04,Cliente 170,Loja Norte,Cadeira,Móveis,2,3324.09,2483.95,Curitiba,PR,CENTRO-OESTE,Crédito
2023-07-30,Cliente 18,Loja Oeste,Notebook,Eletrônicos,4,3461.43,2547.94,Salvador,BA,Sul,Débito
2023-10-11,Cliente 38,Loja Norte,Monitor,Eletrônicos,3,2770.82,1880.82,Salvador,BA,centro-oeste,Pix
2023-09-01,Cliente 151,Loja Sul,Teclado,Eletrônicos,1,504.72,306.6,Rio de Janeiro,RJ,Sudeste,Débito
2023-03-07,Cliente 122,Loja Leste,Cadeira,Móveis,3,2608.93,1716.22,São Paulo,SP,Nordeste,Crédito
2024-11-05,Cliente 134,Loja Sul,Celular,Eletrônicos,4,3311.68,1698.92,Brasília,DF,Centro-Oeste,Crédito
2024-12-30,Cliente 114,Loja Centro,Notebook,Eletrônicos,7,1520.64,809.57,Fortaleza,CE,sudeste,Pix
2024-08-22,Cliente 141,Loja Sul,Webcam,Acessórios,2,485.36,333.59,Belo Horizonte,MG,nordeste,Pix
2023-04-28,Cliente 168,Loja Oeste,Celular,Eletrônicos,10,1534.19,1132.12,Brasília,DF,Sul,Boleto
2024-03-01,Cliente 187,Loja Centro,Celular,Eletrônicos,7,1219.31,775.54,Curitiba,PR,Nordeste,Boleto
2024-04-30,Cliente 18,Loja Centro,Mesa,Móveis,6,3339.89,2358.12,Porto Alegre,RS,sudeste,Crédito
2024-08-23,Cliente 144,Loja Oeste,Impressora,Eletrônicos,6,2850.6,1901.1,Rio de Janeiro,RJ,Nordeste,Crédito
2023-10-22,Cliente 154,Loja Sul,Impressora,Eletrônicos,7,3044.92,2181.13,Salvador,BA,Nordeste,Crédito
2023-04-21,Cliente 90,Loja Oeste,Webcam,Acessórios,4,583.82,376.36,Brasília,DF,Nordeste,Crédito
2024-09-28,Cliente 158,Loja Oeste,Cadeira,Móveis,4,2834.91,2136.24,Goiânia,GO,Sudeste,Pix
2023-12-14,Cliente 90,Loja Centro,Notebook,Eletrônicos,5,2474.31,1466.51,Belo Horizonte,MG,SUDESTE,Débito
2023-02-01,Cliente 24,Loja Oeste,Webcam,Acessórios,2,539.47,372.21,Recife,PE,Sul,Boleto
2023-11-29,Cliente 199,Loja Oeste,Impressora,Eletrônicos,6,593.06,351.98,Fortaleza,CE,CENTRO-OESTE,Crédito
2023-03-25,Cliente 70,Loja Leste,Notebook,Eletrônicos,3,2652.8,1366.0,Belo Horizonte,MG,nordeste,Boleto
2023-04-27,Cliente 89,Loja Leste,Webcam,Acessórios,7,992.43,720.98,Fortaleza,CE,sudeste,Pix
2024-02-09,Cliente 154,Loja Centro,Webcam,Acessórios,9,2351.61,1207.85,Fortaleza,CE,Sudeste,Débito
2023-05-03,Cliente 2,Loja Leste,Cadeira,Móveis,3,2686.36,1576.45,Curitiba,PR,nordeste,Débito
2024-11-15,Cliente 91,Loja Centro,Teclado,Eletrônicos,9,2477.67,1610.68,Recife,PE,nordeste,Crédito
2024-08-12,Cliente 110,Loja Oeste,Impressora,Eletrônicos,8,3228.01,2448.87,São Paulo,SP,nordeste,Boleto
2024-09-24,Cliente 118,Loja Sul,Cadeira,Móveis,7,121.96,72.86,Rio de Janeiro,RJ,sudeste,Boleto
2024-02-10,Cliente 80,Loja Sul,Mouse,Eletrônicos,7,2081.61,1368.01,Curitiba,PR,Sul,Pix
2023-07-18,Cliente 199,Loja Sul,Teclado,Eletrônicos,9,2234.63,1473.03,Rio de Janeiro,RJ,Nordeste,Débito
2023-06-06,Cliente 195,Loja Centro,Monitor,Eletrônicos,3,933.09,515.11,Rio de Janeiro,RJ,SUDESTE,Boleto
2024-08-01,Cliente 165,Loja Oeste,Celular,Eletrônicos,10,1598.72,1242.6,Goiânia,GO,Nordeste,Pix
2023-10-09,Cliente 152,Loja Centro,Teclado,Eletrônicos,2,1667.78,1149.79,Fortaleza,CE,Nordeste,Crédito
2023-10-21,Cliente 20,Loja Centro,Cadeira,Móveis,8,179.74,109.75,Fortaleza,CE,CENTRO-OESTE,Boleto
2023-02-12,Cliente 116,Loja Oeste,Celular,Eletrônicos,9,3342.1,2411.91,Goiânia,GO,Sul,Pix
2023-04-16,Cliente 88,Loja Centro,Webcam,Acessórios,9,570.47,295.82,Fortaleza,CE,centro-oeste,Débito
2024-09-16,Cliente 41,Loja Sul,Notebook,Eletrônicos,8,3468.9,2279.83,Curitiba,PR,Nordeste,Pix
2024-10-08,Cliente 166,Loja Sul,Impressora,Eletrônicos,6,2392.2,1233.68,Recife,PE,sudeste,Pix
2024-11-03,Cliente 155,Loja Norte,Mouse,Eletrônicos,7,1030.31,738.86,Brasília,DF,Nordeste,Crédito
2024-11-09,Cliente 101,Loja Norte,Webcam,Acessórios,6,1120.3,780.64,Belo Horizonte,MG,CENTRO-OESTE,Crédito
2023-05-11,Cliente 172,Loja Oeste,Cadeira,Móveis,7,2270.05,1358.72,Brasília,DF,sudeste,Boleto
2023-08-08,Cliente 88,Loja Leste,Fone de Ouvido,Acessórios,1,1300.96,720.83,Salvador,BA,Sul,Débito
2024-06-03,Cliente 198,Loja Oeste,Teclado,Eletrônicos,2,1070.48,788.34,Belo Horizonte,MG,centro-oeste,Crédito
2023-07-05,Cliente 178,Loja Oeste,Mesa,Móveis,3,2110.5,1152.92,Goiânia,GO,SUDESTE,Boleto
2024-03-30,Cliente 157,Loja Sul,Notebook,Eletrônicos,6,2383.45,1361.57,Recife,PE,Centro-Oeste,Débito
2023-07-18,Cliente 95,Loja Oeste,Fone de Ouvido,Acessórios,5,3381.31,2486.31,Curitiba,PR,Centro-Oeste,Boleto
2023-07-24,Cliente 155,Loja Norte,Cadeira,Móveis,9,1869.74,1476.87,Recife,PE,SUL,Crédito
2024-06-12,Cliente 32,Loja Sul,Celular,Eletrônicos,9,3273.31,2335.25,Salvador,BA,sudeste,Débito
2023-08-16,Cliente 116,Loja Sul,Cadeira,Móveis,9,558.35,352.45,Fortaleza,CE,Sudeste,Boleto
2023-03-25,Cliente 96,Loja Norte,Notebook,Eletrônicos,9,1340.17,825.34,Recife,PE,Sudeste,Pix
2024-04-28,Cliente 179,Loja Norte,Mouse,Eletrônicos,3,524.72,307.52,Salvador,BA,Centro-Oeste,Boleto
2023-06-03,Cliente 141,Loja Oeste,Webcam,Acessórios,2,115.56,65.26,São Paulo,SP,centro-oeste,Boleto
2024-03-05,Cliente 164,Loja Oeste,Mouse,Eletrônicos,4,1088.97,560.08,Porto Alegre,RS,Centro-Oeste,Crédito
2024-08-11,Cliente 62,Loja Norte,Mouse,Eletrônicos,10,1899.39,1309.79,Fortaleza,CE,SUL,Boleto
2024-11-11,Cliente 172,Loja Centro,Notebook,Eletrônicos,6,879.95,549.94,Goiânia,GO,centro-oeste,Pix
2024-07-21,Cliente 6,Loja Leste,Mouse,Eletrônicos,9,1800.28,1433.92,Brasília,DF,Centro-Oeste,Crédito
2023-03-11,Cliente 89,Loja Norte,Impressora,Eletrônicos,5,2628.24,1595.68,Salvador,BA,sudeste,Pix
2023-06-29,Cliente 200,Loja Leste,Teclado,Eletrônicos,6,1933.75,1438.81,São Paulo,SP,Centro-Oeste,Débito
2023-07-24,Cliente 11,Loja Sul,Teclado,Eletrônicos,8,177.59,99.54,Rio de Janeiro,RJ,SUL,Boleto
2023-10-20,Cliente 92,Loja Centro,Fone de Ouvido,Acessórios,5,176.34,122.39,Fortaleza,CE,Nordeste,Pix
2024-01-31,Cliente 87,Loja Norte,Mouse,Eletrônicos,7,3118.73,2254.82,Salvador,BA,Centro-Oeste,Boleto
2023-03-22,Cliente 111,Loja Oeste,Mesa,Móveis,5,2813.96,2020.77,Brasília,DF,SUDESTE,Pix
2024-04-01,Cliente 155,Loja Leste,Mesa,Móveis,2,1181.32,695.43,Rio de Janeiro,RJ,SUDESTE,Boleto
2024-09-21,Cliente 112,Loja Sul,Mesa,Móveis,1,2557.51,1978.19,Fortaleza,CE,Sudeste,Crédito
2023-02-01,Cliente 37,Loja Oeste,Impressora,Eletrônicos,9,2813.78,1980.4,Salvador,BA,Centro-Oeste,Crédito
2024-01-28,Cliente 146,Loja Centro,Teclado,Eletrônicos,4,2735.88,1668.61,Rio de Janeiro,RJ,CENTRO-OESTE,Débito
2023-05-21,Cliente 136,Loja Sul,Celular,Eletrônicos,6,1581.59,827.28,Salvador,BA,nordeste,Pix
2024-06-14,Cliente 100,Loja Oeste,Cadeira,Móveis,2,139.4,77.48,Curitiba,PR,sudeste,Pix
2024-05-17,Cliente 52,Loja Centro,Cadeira,Móveis,4,3487.46,2042.51,Fortaleza,CE,SUDESTE,Crédito
2023-11-24,Cliente 171,Loja Sul,Celular,Eletrônicos,8,3490.56,2594.02,Belo Horizonte,MG,sudeste,Pix
2023-05-05,Cliente 52,Loja Norte,Cadeira,Móveis,3,2788.25,1819.69,Belo Horizonte,MG,Sul,Boleto
2024-07-18,Cliente 34,Loja Oeste,Notebook,Eletrônicos,9,2024.36,1296.04,Salvador,BA,sudeste,Crédito
2024-08-11,Cliente 19,Loja Norte,Cadeira,Móveis,8,1863.65,1361.86,Recife,PE,Nordeste,Crédito
2024-07-18,Cliente 164,Loja Oeste,Celular,Eletrônicos,9,1238.58,945.52,Fortaleza,CE,SUDESTE,Débito
2023-11-08,Cliente 43,Loja Norte,Impressora,Eletrônicos,1,2918.3,1912.74,Brasília,DF,Nordeste,Débito
2024-10-12,Cliente 142,Loja Sul,Mesa,Móveis,5,2968.47,1707.41,Brasília,DF,SUDESTE,Pix
2024-08-17,Cliente 40,Loja Norte,Webcam,Acessórios,2,1783.88,982.19,Brasília,DF,CENTRO-OESTE,Pix
2024-08-13,Cliente 68,Loja Norte,Webcam,Acessórios,1,330.22,259.08,São Paulo,SP,CENTRO-OESTE,Boleto
2024-10-19,Cliente 78,Loja Leste,Webcam,Acessórios,8,3117.04,2068.7,São Paulo,SP,Sul,Boleto
2024-03-01,Cliente 124,Loja Leste,Cadeira,Móveis,2,2425.72,1327.9,Fortaleza,CE,Sul,Pix
2023-12-20,Cliente 103,Loja Norte,Webcam,Acessórios,6,3022.12,1800.56,Belo Horizonte,MG,Nordeste,Crédito
2023-05-25,Cliente 25,Loja Centro,Mesa,Móveis,8,472.7,300.11,Curitiba,PR,SUL,Boleto
2023-12-02,Cliente 148,Loja Sul,Webcam,Acessórios,4,3371.27,2598.22,Recife,PE,Sul,Débito
2023-01-24,Cliente 24,Loja Leste,Celular,Eletrônicos,8,1770.72,1049.26,Brasília,DF,centro-oeste,Boleto
2024-05-21,Cliente 153,Loja Leste,Monitor,Eletrônicos,10,1267.49,652.96,Curitiba,PR,SUL,Crédito
2024-02-17,Cliente 94,Loja Centro,Mouse,Eletrônicos,3,3094.47,2222.61,Recife,PE,nordeste,Crédito
2024-01-31,Cliente 130,Loja Leste,Webcam,Acessórios,4,1300.71,762.97,Brasília,DF,centro-oeste,Pix
2024-01-18,Cliente 87,Loja Oeste,Webcam,Acessórios,2,493.89,261.27,Goiânia,GO,Nordeste,Débito
2023-02-09,Cliente 36,Loja Sul,Monitor,Eletrônicos,9,1434.79,734.72,Goiânia,GO,Centro-Oeste,Boleto
2023-11-23,Cliente 42,Loja Leste,Teclado,Eletrônicos,9,532.24,414.83,Goiânia,GO,CENTRO-OESTE,Pix
2024-12-26,Cliente 145,Loja Sul,Webcam,Acessórios,9,2907.6,1918.15,Salvador,BA,Centro-Oeste,Crédito
2024-12-05,Cliente 162,Loja Centro,Mesa,Móveis,2,3430.65,2316.07,Salvador,BA,CENTRO-OESTE,Boleto
2024-05-06,Cliente 44,Loja Oeste,Cadeira,Móveis,10,835.02,430.37,Goiânia,GO,CENTRO-OESTE,Boleto
2023-07-15,Cliente 5,Loja Leste,Teclado,Eletrônicos,1,2025.37,1438.33,Curitiba,PR,Nordeste,Boleto
